job_title,headcount,median_comp,mean_comp,min_comp,max_comp,total_payroll
SENIOR LIBRARY CLERK,19,77352.0,74166.94736842105,46560.0,77352.0,1409172.0
INVESTIGATIVE ANALYST - CPD,9,76960.0,67340.0,38480.0,76960.0,606060.0
TELEVISION PRODUCTION SPEC,3,76476.0,76796.0,72996.0,80916.0,230388.0
SUPVSR OF PERSONNEL SERVICES,1,76476.0,76476.0,76476.0,76476.0,76476.0
FINANCIAL ANALYST,7,76476.0,80379.42857142857,69684.0,113568.0,562656.0
LIBRARIAN I,147,76464.0,82094.5306122449,67284.0,101664.0,12067896.0
ELDER PROTECTIVE INVESTIGATOR I,8,76464.0,83388.0,69396.0,101664.0,667104.0
SUPERVISING PUBLIC HEALTH NUTRITIONIST,6,76464.0,76318.0,74160.0,80196.0,457908.0
SUPVR OF MAILROOM OPERATIONS,1,76284.0,76284.0,76284.0,76284.0,76284.0
ANIMAL CONTROL OFFICER,14,76206.0,75580.28571428571,56328.0,93828.0,1058124.0
SAFETY SPECIALIST,14,75882.0,80864.57142857143,70740.0,122976.0,1132104.0
SENIOR INFORMATION ANALYST,1,75336.0,75336.0,75336.0,75336.0,75336.0
INFORMATION SERVICES COORD,5,75336.0,86628.0,75336.0,113628.0,433140.0
PHOTOGRAPHER,1,75000.0,75000.0,75000.0,75000.0,75000.0
DISPATCH CLERK,7,74916.0,79338.85714285714,61548.0,102144.0,555372.0
LABORER - APPRENTICE,39,74838.4,81691.73333333334,64147.2,96220.8,3185977.6
ARCHIVAL SPECIALIST,4,74796.0,76350.0,67284.0,88524.0,305400.0
ADVANCE,3,74592.0,74592.0,74592.0,74592.0,223776.0
LIBRARY ASSOCIATE,48,74574.0,77423.0,62976.0,92316.0,3716304.0
SUPVR REGISTRATION-ELECTIONS,1,74424.0,74424.0,74424.0,74424.0,74424.0
OFFICE ASSISTANT,6,74394.0,65192.0,43164.0,77352.0,391152.0
DIGITAL MEDIA COORDINATOR,1,74172.0,74172.0,74172.0,74172.0,74172.0
NON-CDL DRIVER,10,73985.6,73985.6,73985.6,73985.6,739856.0
ADMINISTRATIVE ASST II - EXCLUDED,1,73728.0,73728.0,73728.0,73728.0,73728.0
ADMINISTRATIVE ASST,7,73032.0,81881.14285714286,63312.0,118956.0,573168.0
ASSOCIATE HUMAN RESOURCES BUSINESS PARTNER-EXCLD,1,72996.0,72996.0,72996.0,72996.0,72996.0
RISK ANALYST,1,72996.0,72996.0,72996.0,72996.0,72996.0
CURATOR OF EXHIBITS,1,72996.0,72996.0,72996.0,72996.0,72996.0
COORD OF SECURITY AND FIRE SAFETY,3,72996.0,75372.0,72996.0,80124.0,226116.0
INFORMATION ANALYST (IGO),2,72996.0,72996.0,72996.0,72996.0,145992.0
FLEET SERVICES SUPVSR,6,72987.2,72987.2,72987.2,72987.2,437923.19999999995
