job_title,headcount,median_comp,mean_comp,min_comp,max_comp,total_payroll
CHIEF INFORMATION SECURITY OFFICER,1,211752.0,211752.0,211752.0,211752.0,211752.0
COMMISSIONER OF HOUSING,1,207612.0,207612.0,207612.0,207612.0,207612.0
COMMISSIONER OF FLEET & FACILITY MANAGEMENT,1,207612.0,207612.0,207612.0,207612.0,207612.0
DISTRICT CHIEF,7,205560.0,205560.0,205560.0,205560.0,1438920.0
BATTALION CHIEF-PARAMEDIC,12,205248.0,204753.0,199308.0,205248.0,2457036.0
CHIEF HELICOPTER PILOT-PARAMEDIC,1,205248.0,205248.0,205248.0,205248.0,205248.0
FIRST ASST CORPORATION COUNSEL,1,205200.0,205200.0,205200.0,205200.0,205200.0
HEAD OF PLANNING,1,204516.0,204516.0,204516.0,204516.0,204516.0
HEAD OF SUPPORT,1,204516.0,204516.0,204516.0,204516.0,204516.0
DIR OF CAPS,1,204516.0,204516.0,204516.0,204516.0,204516.0
COMMISSIONER OF BUILDINGS,1,204420.0,204420.0,204420.0,204420.0,204420.0
CHIEF ADMINISTRATOR,1,203532.0,203532.0,203532.0,203532.0,203532.0
DEPUTY CHIEF,15,201048.0,201048.0,201048.0,201048.0,3015720.0
MANAGING DEPUTY COMMISSIONER - 41,16,200970.0,198758.25,164412.0,211752.0,3180132.0
INSPECTOR GENERAL,1,200892.0,200892.0,200892.0,200892.0,200892.0
MEDICAL DIR,6,199800.0,198948.0,194688.0,199800.0,1193688.0
FIRST DEPUTY BUDGET DIR,1,199800.0,199800.0,199800.0,199800.0,199800.0
MANAGING DEPUTY DIR,4,199410.0,199410.0,194688.0,204132.0,797640.0
DIR OF PROFESSIONAL COUNSELING SERVICES,1,199284.0,199284.0,199284.0,199284.0,199284.0
HEAD OF DELIVERY,1,199284.0,199284.0,199284.0,199284.0,199284.0
GENERAL COUNSEL-42,2,199284.0,199284.0,199284.0,199284.0,398568.0
ASST COMMANDING FIRE MARSHAL-EMT,1,197880.0,197880.0,197880.0,197880.0,197880.0
BATTALION CHIEF - EMT,92,197880.0,197694.13043478262,192180.0,197880.0,18187860.0
COMMISSIONER OF BUS AFAIRS AND CONSUMER PROT,1,197820.0,197820.0,197820.0,197820.0,197820.0
FIRST DEPUTY CHIEF OF STAFF,1,197760.0,197760.0,197760.0,197760.0,197760.0
SENIOR ADVISOR TO THE MAYOR,2,196500.0,196500.0,195000.0,198000.0,393000.0
COMMUNICATIONS DIRECTOR,1,195000.0,195000.0,195000.0,195000.0,195000.0
COMMISSIONER OF CULTURAL AFFAIRS/SPEC EVENTS,1,195000.0,195000.0,195000.0,195000.0,195000.0
DEPUTY MAYOR,6,195000.0,194988.0,194928.0,195000.0,1169928.0
FIRST DEPUTY COMMISSIONER,8,194688.0,191173.5,168924.0,199800.0,1529388.0
COMMANDING FIRE MARSHAL,1,193656.0,193656.0,193656.0,193656.0,193656.0
COORD OF AIR MASK SERVICES,1,193656.0,193656.0,193656.0,193656.0,193656.0
CITY PROSECUTOR,1,192852.0,192852.0,192852.0,192852.0,192852.0
DEPUTY DIRECTOR - 42,9,192852.0,187097.33333333334,153000.0,204516.0,1683876.0
DIR OF POLICE RECORDS,1,192852.0,192852.0,192852.0,192852.0,192852.0
DEPUTY CORPORATION COUNSEL,18,192852.0,197356.0,184800.0,216180.0,3552408.0
COMMANDER,38,192240.0,191800.57894736843,181188.0,192240.0,7288422.0
DIR OF ADMINISTRATIVE HEARINGS,1,191736.0,191736.0,191736.0,191736.0,191736.0
ASST DEPUTY CHIEF PARAMEDIC,11,191724.0,191724.0,191724.0,191724.0,2108964.0
DEPUTY DISTRICT CHIEF,18,191724.0,191724.0,191724.0,191724.0,3451032.0
EXECUTIVE DIRECTOR - CCPSA,1,190428.0,190428.0,190428.0,190428.0,190428.0
CHIEF SUSTAINABILITY OFFICER,1,190428.0,190428.0,190428.0,190428.0,190428.0
DEPUTY CHIEF OF STAFF,2,189090.0,189090.0,183180.0,195000.0,378180.0
MANAGING DEPUTY BUDGET DIRECTOR,2,188400.0,188400.0,188400.0,188400.0,376800.0
FIRST DEPUTY PROCUREMENT OFFICER,1,188400.0,188400.0,188400.0,188400.0,188400.0
CAPTAIN-PARAMEDIC,5,187764.0,186648.0,182184.0,187764.0,933240.0
COMMANDER-EMT,4,186984.0,186996.0,181836.0,192180.0,747984.0
BATTALION CHIEF,5,186594.0,186594.0,186594.0,186594.0,932970.0
PARAMEDIC FIELD CHIEF,42,186594.0,185833.85714285713,176292.0,186594.0,7805022.0
CAPTAIN,40,185676.0,181286.4,170700.0,185676.0,7251456.0
MANAGING DEPUTY DIRECTOR - 41,1,184800.0,184800.0,184800.0,184800.0,184800.0
EXECUTIVE DIR OF ANIMAL CARE AND CONTROL,1,184800.0,184800.0,184800.0,184800.0,184800.0
ASST CHIEF LABOR NEGOTIATOR,1,184800.0,184800.0,184800.0,184800.0,184800.0
DEPUTY COMMISSIONER - 42,43,184584.0,183174.97674418605,153000.0,199284.0,7876524.0
FIRST DEPUTY DIR,4,184362.0,185445.0,168924.0,204132.0,741780.0
MANAGING DEPUTY COMMISSIONER,8,184362.0,184509.0,168924.0,194688.0,1476072.0
DIR OF RESEARCH AND PLANNING,1,181356.0,181356.0,181356.0,181356.0,181356.0
DEPUTY DIR,28,181356.0,173129.14285714287,139140.0,186156.0,4847616.0
DEPUTY INSPECTOR GENERAL,5,181356.0,182316.0,181356.0,186156.0,911580.0
DIR OF WORKERS COMPENSATION,1,181356.0,181356.0,181356.0,181356.0,181356.0
LOCAL LIQUOR CONTROL COMMISSIONER,1,181356.0,181356.0,181356.0,181356.0,181356.0
DIR OF LABOR RELATIONS,1,181356.0,181356.0,181356.0,181356.0,181356.0
DEPUTY COMPTROLLER,7,181356.0,177924.0,157332.0,181356.0,1245468.0
CAPTAIN-EMT,172,181062.0,178160.61627906977,170520.0,181062.0,30643626.0
LIEUTENANT-EMT (ASSIGNED AS TRAINING INSTRUCTOR),5,181062.0,176845.2,170520.0,181062.0,884226.0
FIRST DEPUTY CITY TREASURER,1,178932.0,178932.0,178932.0,178932.0,178932.0
CONTRACTS NEGOTIATOR,1,178188.0,178188.0,178188.0,178188.0,178188.0
PR TELECOMMUNICATIONS SPECIALIST,2,178188.0,178188.0,178188.0,178188.0,356376.0
ENTERPRISE ARCHITECTURE LEAD,1,177612.0,177612.0,177612.0,177612.0,177612.0
FIRST DEPUTY CITY CLERK,1,176004.0,176004.0,176004.0,176004.0,176004.0
ASST CHIEF ELEVATOR INSPECTOR,1,175739.16,175739.16,175739.16,175739.16,175739.16
CITY TREASURER,1,175560.0,175560.0,175560.0,175560.0,175560.0
CITY CLERK,1,175560.0,175560.0,175560.0,175560.0,175560.0
GENERAL COUNSEL,1,175512.0,175512.0,175512.0,175512.0,175512.0
DIR OF 311 CITY SERVICES,1,175512.0,175512.0,175512.0,175512.0,175512.0
DEPUTY BUDGET DIR,6,175512.0,173970.0,167964.0,181356.0,1043820.0
COORD OF HAZARDOUS MATERIALS PROGRAM,1,175296.0,175296.0,175296.0,175296.0,175296.0
MANAGING DEPUTY COMPTROLLER,2,174624.0,174624.0,168924.0,180324.0,349248.0
CHIEF WATER ENGINEER,3,173160.0,165696.0,150768.0,173160.0,497088.0
DIR OF WATER PURIFICATION LABORATORIES,1,173160.0,173160.0,173160.0,173160.0,173160.0
CHIEF ASST CORPORATION COUNSEL,17,173160.0,172477.41176470587,133836.0,187524.0,2932116.0
DIR OF WATER QUALITY SURVEILLANCE,1,173160.0,173160.0,173160.0,173160.0,173160.0
INFORMATION SECURITY LEAD,3,172920.0,170168.0,153000.0,184584.0,510504.0
COMM MAYORS OFF PEOPLE W DISABILITIES,1,171924.0,171924.0,171924.0,171924.0,171924.0
DEPUTY DIR OF ADMINISTRATIVE ADJUDICATION,1,171540.0,171540.0,171540.0,171540.0,171540.0
LIEUTENANT (ASSIGNED AS TRAINING INSTRUCTOR),1,170700.0,170700.0,170700.0,170700.0,170700.0
FIRST DEPUTY COMMISSIONER - 21,1,170436.0,170436.0,170436.0,170436.0,170436.0
DATABASE SERVICES LEAD,1,170196.0,170196.0,170196.0,170196.0,170196.0
DATA PORTAL LEAD,1,170196.0,170196.0,170196.0,170196.0,170196.0
PRINCIPAL SYSTEMS PROGRAMMER,2,170160.0,170160.0,170160.0,170160.0,340320.0
VETERINARIAN,3,170160.0,162256.0,146448.0,170160.0,486768.0
CHIEF PROGRAMMER/ANALYST,4,170160.0,159699.0,128316.0,170160.0,638796.0
ASST ZONING ADMINISTRATOR,1,167964.0,167964.0,167964.0,167964.0,167964.0
DEPUTY COMMISSIONER,54,167964.0,164744.44444444444,139140.0,181356.0,8896200.0
DIRECTOR OF INTERNAL AUDIT,1,167964.0,167964.0,167964.0,167964.0,167964.0
DIRECTOR OF LABOR STANDARDS,1,167964.0,167964.0,167964.0,167964.0,167964.0
DEPUTY PROCUREMENT OFFICER,5,167964.0,164877.6,139140.0,181356.0,824388.0
DIGITAL AND WEB SERVICES LEAD,1,167700.0,167700.0,167700.0,167700.0,167700.0
DIRECTOR OF INFORMATION SYSTEMS,1,167700.0,167700.0,167700.0,167700.0,167700.0
DIR OF EMS COMPLIANCE,1,167700.0,167700.0,167700.0,167700.0,167700.0
POLICE LEGAL OFFICER II,5,165624.0,165663.6,160746.0,170700.0,828318.0
COORD OF SPECIAL EVENTS LIAISON,1,165624.0,165624.0,165624.0,165624.0,165624.0
AMBULANCE COMMANDER,88,165624.0,163890.20454545456,155934.0,170700.0,14422338.0
LIEUTENANT,310,165624.0,164726.76774193547,147246.0,170700.0,51065298.0
ELEVATOR INSPECTOR,9,165401.64,165401.64,165401.64,165401.64,1488614.7600000002
EXECUTIVE DIR - BOARD OF ETHICS,1,165144.0,165144.0,165144.0,165144.0,165144.0
MANAGING DEPUTY PROCUREMENT OFFICER,2,164886.0,164886.0,149448.0,180324.0,329772.0
PRINCIPAL DATABASE ADMINISTRATOR,3,164880.0,143080.0,99480.0,164880.0,429240.0
DATA ARCHITECT,1,164808.0,164808.0,164808.0,164808.0,164808.0
CONTRACTS ADMINISTRATOR-43,2,164190.0,164190.0,160680.0,167700.0,328380.0
ENGINEER OF WATER PURIFICATION,2,164190.0,164190.0,160680.0,167700.0,328380.0
MANAGING EDITOR COUNCIL JOURNAL,1,163740.0,163740.0,163740.0,163740.0,163740.0
DIR OF HUMAN RESOURCES,2,163440.0,163440.0,160680.0,166200.0,326880.0
CHIEF PLUMBING INSPECTOR,2,163113.6,163113.6,163113.6,163113.6,326227.2
MANAGER OF REGULATORY REVIEW,1,162672.0,162672.0,162672.0,162672.0,162672.0
ASSOCIATE GENERAL COUNSEL-OIG,3,162672.0,161284.0,158508.0,162672.0,483852.0
MANAGER OF AUDITING,3,162672.0,162672.0,162672.0,162672.0,488016.0
SOLUTIONS ARCHITECT,2,162414.0,162414.0,160020.0,164808.0,324828.0
LIEUTENANT-PARAMEDIC,29,161970.0,162783.10344827586,152154.0,167214.0,4720710.0
SUPERVISING FIRE MARSHAL-EMT,2,161232.0,161232.0,161232.0,161232.0,322464.0
DEPUTY COMMISSIONER- 22,4,161154.0,163887.0,151884.0,181356.0,655548.0
FAA FIRE TRAINING SPECIALIST,3,160752.0,160770.0,155934.0,165624.0,482310.0
PROJECT DIR,3,160680.0,160216.0,146808.0,173160.0,480648.0
RISK MANAGER - CPD,1,160680.0,160680.0,160680.0,160680.0,160680.0
ASSISTANT COMMISSIONER -43,55,160680.0,159335.78181818183,133836.0,167700.0,8763468.0
ASST CHIEF ENGINEER,5,160680.0,162084.0,160680.0,167700.0,810420.0
DIRECTOR OF PROFESSIONAL COUNSELING SERVICES,1,160680.0,160680.0,160680.0,160680.0,160680.0
ASST COMPTROLLER,6,160590.0,153596.0,121668.0,162672.0,921576.0
PRINCIPAL PROGRAMMER/ANALYST,7,160020.0,153773.14285714287,122928.0,170160.0,1076412.0
CHIEF WATER CHEMIST,1,159792.0,159792.0,159792.0,159792.0,159792.0
FILTRATION ENGINEER V,4,159792.0,159792.0,159792.0,159792.0,639168.0
AUDITOR IV,5,159792.0,153194.4,140148.0,159792.0,765972.0
DEPUTY CITY TREASURER,3,158568.0,154116.0,126396.0,177384.0,462348.0
DIR OF SPECIAL INVESTIGATIONS,1,158508.0,158508.0,158508.0,158508.0,158508.0
CHIEF FORENSIC DATA ANALYST,2,158508.0,158508.0,158508.0,158508.0,317016.0
CHIEF INVESTIGATOR (IG),5,158508.0,153288.0,137532.0,158508.0,766440.0
DIR OF EPIDEMIOLOGY,2,158508.0,158508.0,158508.0,158508.0,317016.0
SUPVSR OF LOT CLEANING SERVICES,2,157962.0,157962.0,143352.0,172572.0,315924.0
RISK MANAGER,1,157332.0,157332.0,157332.0,157332.0,157332.0
DEPUTY CHIEF ADMINISTRATOR,4,157332.0,163338.0,157332.0,181356.0,653352.0
SUPRVNG BUILDING/CONTRUCT INSPECTOR,13,157296.0,157908.0,123528.0,172572.0,2052804.0
ASST CHIEF AIRPORT OPERATIONS SUPVSR,6,157296.0,152850.0,130620.0,157296.0,917100.0
FIELD SUPVSR,5,157296.0,147328.8,107460.0,157296.0,736644.0
EPIDEMIOLOGIST III,12,157278.0,146450.0,117636.0,159792.0,1757400.0
DIR OF MAINTENANCE OPERATIONS,3,157212.0,140588.0,107340.0,157212.0,421764.0
CHIEF BUILDING/CONSTRUCT INSPECTOR,1,156924.0,156924.0,156924.0,156924.0,156924.0
GENERAL FOREMAN OF LINEMEN,5,156894.36,156894.36,156894.36,156894.36,784471.7999999999
COORDINATING FIRE COMMUNICATIONS OPERATOR,2,156894.36,156894.36,156894.36,156894.36,313788.72
CHIEF FILTRATION ENGINEER,1,156708.0,156708.0,156708.0,156708.0,156708.0
LIEUTENANT-EMT,460,156174.0,155589.19565217392,146718.0,161232.0,71571030.0
DIRECTOR OF GRANTS MANAGEMENT,2,155724.0,155724.0,150768.0,160680.0,311448.0
ALDERMAN - 16TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 18TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 46TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 48TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 45TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 28TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 14TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 17TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 50TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 35TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 37TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 34TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 29TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 22ND WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 27TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 24TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 40TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 20TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 21ST WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 10TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 30TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 43RD WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 6TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 7TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 9TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 12TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 26TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 4TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
ALDERMAN - 5TH WARD,1,155688.0,155688.0,155688.0,155688.0,155688.0
DEPUTY DIRECTOR - 22,8,155226.0,154167.0,142476.0,163740.0,1233336.0
CHIEF OPERATING ENGINEER,13,154876.8,153884.8,141980.8,154876.8,2000502.4
PRINCIPAL ENGINEER,5,154764.0,149474.4,128316.0,154764.0,747372.0
ALDERMAN - 3RD WARD,1,154716.0,154716.0,154716.0,154716.0,154716.0
ALDERMAN - 8TH WARD,1,154716.0,154716.0,154716.0,154716.0,154716.0
ASST EXECUTIVE DIR - BD OF ELECTIONS,1,154056.0,154056.0,154056.0,154056.0,154056.0
DIR OF ENVIR HEALTH & SAFETY COMPLIANCE,2,153552.0,153552.0,139140.0,167964.0,307104.0
COMMUNICATIONS OPERATIONS MANAGER,7,153384.0,147706.2857142857,121668.0,158508.0,1033944.0
CONTRACTS ADMINISTRATOR,10,153384.0,152545.2,133836.0,167700.0,1525452.0
PROGRAM DIR - CULTURAL AFFAIRS,11,153384.0,143294.18181818182,121668.0,153384.0,1576236.0
CHIEF INVESTIGATIVE ANALYST,1,153384.0,153384.0,153384.0,153384.0,153384.0
DIR OF INFORMATION SYSTEMS,9,153384.0,149076.0,121668.0,158508.0,1341684.0
DIR OF ASSESSMENT & SELECTION METHODS,1,153384.0,153384.0,153384.0,153384.0,153384.0
MGR OF GRAPHICS & REPRODUCTION CTR,1,153384.0,153384.0,153384.0,153384.0,153384.0
DIR OF LOGISTICS AND SUPPLY,1,153384.0,153384.0,153384.0,153384.0,153384.0
DIRECTOR OF LIBRARY TECHNOLOGY,1,153384.0,153384.0,153384.0,153384.0,153384.0
DIRECTOR OF FINANCE,17,153384.0,149935.76470588235,110856.0,173160.0,2548908.0
CHIEF SYSTEMS PROGRAMMER,1,153228.0,153228.0,153228.0,153228.0,153228.0
FORENSIC LABORATORY DIRECTOR,1,153000.0,153000.0,153000.0,153000.0,153000.0
ASST DEPUTY CHIEF OF STAFF,5,152076.0,158512.8,140808.0,183180.0,792564.0
ASST DEPUTY MAYOR,5,152076.0,154166.4,144648.0,169956.0,770832.0
POLICE FORENSIC INVESTIGATOR I,1,152010.0,152010.0,152010.0,152010.0,152010.0
DIR OF NEWS AFFAIRS,4,151458.0,147978.0,133380.0,155616.0,591912.0
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,9,151326.0,149414.0,147024.0,151326.0,1344726.0
AIRPORT ACCOUNTABILITY DIRECTOR,2,150768.0,150768.0,150768.0,150768.0,301536.0
CHIEF ENGINEER OF SEWERS,1,150768.0,150768.0,150768.0,150768.0,150768.0
ASSISTANT DIRECTOR-43,17,150768.0,151764.0,133836.0,167700.0,2579988.0
ASST ENGINEER OF WATER PUMPING,1,150624.0,150624.0,150624.0,150624.0,150624.0
ENGINEER OF ELECTRIC PUMPING STATIONS,1,150624.0,150624.0,150624.0,150624.0,150624.0
NETWORK ADMINISTRATOR,1,150240.0,150240.0,150240.0,150240.0,150240.0
DIR OF PLANNING RESEARCH AND DEVELOPMENT,6,150096.0,147122.0,121668.0,160680.0,882732.0
DIR OF FACILITIES MANAGEMENT,6,150096.0,146430.0,121668.0,160680.0,878580.0
ASST DIR,10,150096.0,149119.2,121668.0,158508.0,1491192.0
PROGRAM DIRECTOR SPECIAL EVENTS,2,150096.0,150096.0,146808.0,153384.0,300192.0
MEDICAL ADMINISTRATOR,2,150096.0,150096.0,146808.0,153384.0,300192.0
GEN SUPT OF WATER MANAGEMENT,4,150072.0,150072.0,150072.0,150072.0,600288.0
GENERAL SUPT OF STREETS AND SANITATION,6,150072.0,152556.0,143232.0,164676.0,915336.0
DIR OF MONITORING SERVICES,1,150072.0,150072.0,150072.0,150072.0,150072.0
SENIOR SECURITY ENGINEER,7,149556.0,145791.42857142858,131412.0,158724.0,1020540.0
ASST CORPORATION COUNSEL SENIOR,4,149556.0,146472.0,130128.0,156648.0,585888.0
ASST CORPORATION COUNSEL SUPVSR,57,149556.0,149051.36842105264,118596.0,164100.0,8495928.0
CUSTOMER RELATIONSHIP SERVICES LEAD,1,149556.0,149556.0,149556.0,149556.0,149556.0
ALDERMAN - 44TH WARD,1,149520.0,149520.0,149520.0,149520.0,149520.0
APPLICATION DELIVERY MANAGER,2,149496.0,149496.0,134184.0,164808.0,298992.0
ASST DIR OF INFORMATION SYSTEMS,4,148788.0,150723.0,146808.0,158508.0,602892.0
ENGINEERING TECHNICIAN VI,5,148056.0,140160.0,108576.0,148056.0,700800.0
SENIOR INFRASTRUCTURE ADMINISTRATOR,1,148056.0,148056.0,148056.0,148056.0,148056.0
REGIONAL COMMUNICABLE DISEASE INVESTIGATOR,1,148056.0,148056.0,148056.0,148056.0,148056.0
SUPERVISING PUBLIC HEALTH NURSE,7,147672.0,128166.85714285714,94080.0,152472.0,897168.0
FOREMAN OF LINEMEN,20,147409.6,147409.592,147409.56,147409.6,2948191.84
FOREMAN OF STREET LIGHT REPAIRMEN,7,147409.56,147409.56,147409.56,147409.56,1031866.9199999999
FOREMAN OF TRAFFIC SIGNAL REPAIRMEN,2,147409.56,147409.56,147409.56,147409.56,294819.12
SUPERVISING FIRE COMMUNICATIONS OPERATOR,11,147409.56,147409.56,147409.56,147409.56,1621505.16
SERGEANT,1357,147252.0,145316.79439941046,133890.0,152010.0,197194890.0
POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST),20,147252.0,144388.2,133884.0,152010.0,2887764.0
POLICE OFFICER / SUPRVSING SUBST ABUSE CONSLR,1,147252.0,147252.0,147252.0,147252.0,147252.0
COORDINATOR SPECIAL PROJECTS/BLDG,2,146820.0,146820.0,143400.0,150240.0,293640.0
DIRECTOR OF HUMAN RESOURCES,3,146808.0,149004.0,137532.0,162672.0,447012.0
DIR OF SECURITY,1,146808.0,146808.0,146808.0,146808.0,146808.0
DIR OF PROGRAM OPERATIONS X33,7,146808.0,141118.2857142857,121668.0,153384.0,987828.0
DIR OF CLASSIFICATION AND COMPENSATION,1,146808.0,146808.0,146808.0,146808.0,146808.0
DIR OF LABORATORY SCIENCE,1,146808.0,146808.0,146808.0,146808.0,146808.0
ASST COMMISSIONER,45,146808.0,146046.93333333332,121668.0,158508.0,6572112.0
ASST PROCUREMENT OFFICER,5,146808.0,138067.2,121668.0,153384.0,690336.0
DIR OF ADMINISTRATIVE SERVICES,4,146808.0,148452.0,146808.0,153384.0,593808.0
DIRECTOR OF FOOD SAFETY AND REGULATORY SERVICES,1,146808.0,146808.0,146808.0,146808.0,146808.0
ASST BENEFITS MANAGER,1,146808.0,146808.0,146808.0,146808.0,146808.0
ASST GENERAL COUNSEL,1,146808.0,146808.0,146808.0,146808.0,146808.0
CHIEF ASST INSPECTOR GENERAL,2,146808.0,146808.0,146808.0,146808.0,293616.0
ASSISTANT DIRECTOR - FINANCE,1,146808.0,146808.0,146808.0,146808.0,146808.0
SENIOR DIRECTOR OF FAMILY SUPPORT PROGRAMS,15,146808.0,141858.4,121668.0,153384.0,2127876.0
HR RECORDS ADMINISTRATION DIRECTOR,1,146808.0,146808.0,146808.0,146808.0,146808.0
DISTRICT SUPVSR - GRAFFITI REMOVAL SERVICES,4,146766.0,144648.0,112488.0,172572.0,578592.0
SUPVSR OF AUDITING,9,146448.0,136686.66666666666,112536.0,146448.0,1230180.0
DATA SCIENTIST,9,146448.0,139704.0,128316.0,146448.0,1257336.0
FIRE PREVENTION ENGINEER,1,146160.0,146160.0,146160.0,146160.0,146160.0
PROJECT MANAGER - BUILDINGS,9,146160.0,136845.33333333334,107628.0,146460.0,1231608.0
ARCHITECT IV,13,146160.0,136642.15384615384,102516.0,146160.0,1776348.0
RECRUITER,18,146160.0,139562.66666666666,112536.0,146160.0,2512128.0
SENIOR PROGRAMMER/ANALYST,11,146160.0,134013.81818181818,107628.0,146160.0,1474152.0
SENIOR SYSTEMS PROGRAMMER,1,146160.0,146160.0,146160.0,146160.0,146160.0
MANAGING ENGINEER - WATER MANAGEMENT,2,144756.0,144756.0,144756.0,144756.0,289512.0
GENERAL FOREMAN OF HOISTING ENGINEERS,2,144663.96,144663.96,144663.96,144663.96,289327.92
FIRE ENGINEER-PARAMEDIC,22,144444.0,143453.18181818182,137052.0,151326.0,3155970.0
ALDERMAN - 32ND WARD,1,144264.0,144264.0,144264.0,144264.0,144264.0
PRINCIPAL DATA ANALYST,2,144216.0,144216.0,123552.0,164880.0,288432.0
GIS MANAGER,2,144168.0,144168.0,128316.0,160020.0,288336.0
ASST CHIEF PLUMBING INSPECTOR,1,144083.64,144083.64,144083.64,144083.64,144083.64
MANAGER OF 311 OPERATIONS,2,143868.0,143868.0,130524.0,157212.0,287736.0
MECHANICAL ENGINEER IV,2,143862.0,143862.0,141564.0,146160.0,287724.0
INFRASTRUCTURE AND OPERATIONS LEAD,1,143712.0,143712.0,143712.0,143712.0,143712.0
DIR OF COMMUNICATIONS - AVIATION,1,143688.0,143688.0,143688.0,143688.0,143688.0
CHIEF VENT AND MECHANICAL EQUIPMENT INSPECTOR,1,143537.4,143537.4,143537.4,143537.4,143537.4
WEB DEVELOPER,1,143400.0,143400.0,143400.0,143400.0,143400.0
DIVISION SUPERINTENDENT,8,143382.0,138879.0,112440.0,157212.0,1111032.0
SENIOR ADMINISTRATIVE LAW OFFICER,4,143352.0,138726.0,124848.0,143352.0,554904.0
DIR OF LICENSE ISSUANCE,1,143352.0,143352.0,143352.0,143352.0,143352.0
DISTRICT SUPERINTENDENT OF WATER DISTRIBUTION,3,143352.0,145628.0,143352.0,150180.0,436884.0
MANAGER OF ADMINSTRATIVE ADJUDICATION,1,143352.0,143352.0,143352.0,143352.0,143352.0
SUPERVISING AIR MASK TECHNICIAN,1,143352.0,143352.0,143352.0,143352.0,143352.0
SUPERINTENDENT OF PAVEMENT REPAIRS,2,143232.0,143232.0,143232.0,143232.0,286464.0
MGR OF HUMAN RESOURCES-PUBLIC SAFETY,1,143232.0,143232.0,143232.0,143232.0,143232.0
PROJECT MANAGER-DTI,1,143232.0,143232.0,143232.0,143232.0,143232.0
GENERAL MANAGER OF GROUNDS AND TERMINAL FACILITIES,1,143232.0,143232.0,143232.0,143232.0,143232.0
FRM OF HOISTING ENGINEER - MECHANICS,3,143104.0,143104.0,143104.0,143104.0,429312.0
FOREMAN OF HOISTING ENGINEERS,9,143104.0,143104.0,143104.0,143104.0,1287936.0
CONSTRUCTION EQUIPMENT INSPECTOR,5,143103.96,143103.96,143103.96,143103.96,715519.7999999999
GENERAL FOREMAN OF GENERAL TRADES,3,142916.76,142916.76,142916.76,142916.76,428750.28
ALDERMAN - 33RD WARD,1,142776.0,142776.0,142776.0,142776.0,142776.0
ALDERMAN - 25TH WARD,1,142776.0,142776.0,142776.0,142776.0,142776.0
PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR),9,142668.0,142277.33333333334,133890.0,147246.0,1280496.0
EXPLOSIVES TECHNICIAN I,19,142668.0,144691.8947368421,133884.0,152010.0,2749146.0
ALDERMAN - 2ND WARD,1,142020.0,142020.0,142020.0,142020.0,142020.0
ALDERMAN - 39TH WARD,1,142020.0,142020.0,142020.0,142020.0,142020.0
ALDERMAN - 11TH WARD,1,142020.0,142020.0,142020.0,142020.0,142020.0
ALDERMAN - 1ST WARD,1,142020.0,142020.0,142020.0,142020.0,142020.0
ALDERMAN - 41ST WARD,1,142020.0,142020.0,142020.0,142020.0,142020.0
ASST CHIEF OPERATING ENGINEER,66,141980.8,141980.8,141980.8,141980.8,9370732.799999999
